Measure,Flash BRT 2023 Score
Access to Jobs in Base (general population) ,"93,633"
Access to Jobs in Build (general population) ,"95,523"
Change in Access to Jobs (general population) ,"1,890"
Access to Jobs in Base (disadvantaged population) ,"80,903"
Access to Jobs in Build (disadvantaged population) ,"82,793"
Change in Access to Jobs (disadvantaged population) ,"1,890"
Change in Average Travel Time Per Trip (minutes) ,0.16
Estimated Ridership ,"30,000"
Estimated Existing Ridership (Estimated Ridership * 80%) ,"24,000"
Total Estimated Travel Time Savings for Existing Transit Riders (Change in Average Travel Time Per Trip * Estimated Existing Ridership) ,"3,840"
